age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
505314.6,3.3261273,4.4689235,1.1999989,0.0,1.2,1.1999989,0.0,2.6374442511,0.0
541560.5,3.239412,4.2450112,1.1999989,0.0,1.2,1.1999989,0.0,2.5036999975,0.0
580539.0,3.1553826,4.0310787,1.1999989,0.0,1.2,1.1999989,0.0,2.3773338437,0.0
622830.0,3.0732696,3.8276946,1.1999988,0.0,1.2,1.1999988,0.0,2.2569276255,0.0
668446.5,2.9935014,3.6325153,1.1999988,0.0,1.2,1.1999988,0.0,2.142877385,0.0
717748.4,2.9158909,3.4463943,1.1999988,0.0,1.2,1.1999988,0.0,2.0346797647,0.0
770819.6,2.8406664,3.2702581,1.1999988,0.0,1.2,1.1999988,0.0,1.9324215161,0.0
828302.0,2.7673121,3.1012399,1.1999988,0.0,1.2,1.1999988,0.0,1.8351828463,0.0
890504.6,2.6958738,2.9404963,1.1999988,0.0,1.2,1.1999988,0.0,1.7428375967,0.0
957765.0,2.6263786,2.7874603,1.1999987,0.0,1.2,1.1999987,0.0,1.6552404138,0.0
1029919.7,2.5592748,2.6420399,1.1999987,0.0,1.2,1.1999987,0.0,1.5727541399,0.0
1108369.6,2.493624,2.5041359,1.1999987,0.0,1.2,1.1999987,0.0,1.4940502567,0.0
1193116.5,2.4298059,2.3703558,1.1999987,0.1987106,1.2,1.1959834,0.0020782,1.4194018213,2.11414e-05
1285244.0,2.3675433,2.2445899,1.1999987,0.2731989,1.2,1.1888713,0.006404,1.3482579418,0.0001314148
1384843.6,2.3071256,2.1244736,1.1999986,0.3226995,1.2,1.1804225,0.0111274,1.2807914214,0.0003143515
1492904.7,2.2483523,2.0103234,1.1999986,0.3680712,1.2,1.1690252,0.0251182,1.2160026637,0.0011687668
1609954.5,2.1913216,1.9026123,1.1999986,0.4311401,1.2,1.1474484,0.0435333,1.153732347,0.0027966112
1736431.7,2.1361566,1.8007056,1.1999986,0.4765989,1.2,1.1249146,0.0684559,1.0934401817,0.0057044851
1874393.3,2.0823632,1.7038712,1.1999986,0.5199194,1.2,1.0971695,0.0957277,1.0347925334,0.0095631598
2024353.1,2.0301724,1.6123886,1.1999986,0.5431854,1.2,1.0753238,0.1173102,0.9794440575,0.0128153281
2186876.6,1.9797311,1.526848,1.1999985,0.5787075,1.2,1.0413646,0.1509873,0.9241372303,0.0187228536
2364327.8,1.9307024,1.4458242,1.1999985,0.6029509,1.2,1.010352,0.1818387,0.8712703321,0.0244216891
2557388.3,1.883293,1.3700131,1.1999985,0.6228683,1.2,0.9788663,0.2132301,0.8203793159,0.0304472114
2767412.6,1.8375123,1.2996882,1.1999985,0.6391247,1.2,0.9471418,0.2449143,0.77150108,0.0366422377
2996954.1,1.7931611,1.2338777,1.1999985,0.652145,1.2,0.9153702,0.2766901,0.7244884563,0.0428502918
3246564.1,1.7504972,1.1730941,1.1999985,0.6695801,1.2,0.8758277,0.3162888,0.6772898349,0.0512377854
3520101.4,1.709218,1.1169789,1.1999984,0.6835096,1.2,0.8367103,0.3555081,0.6318326079,0.0594878393
3817983.3,1.6695902,1.0662657,1.1999984,0.6945062,1.2,0.7982071,0.394149,0.5884098682,0.0674347483
4144732.6,1.6313712,1.0199887,1.1999984,0.702764,1.2,0.7604845,0.4320379,0.5468755555,0.0748835757
4502007.7,1.5947213,0.9786794,1.1999984,0.7140767,1.2,0.7164154,0.4763356,0.5049565014,0.0841324103
4891666.3,1.5597594,0.9425273,1.1999984,0.7201203,1.2,0.6772961,0.5156853,0.4664178949,0.0913955483
5318356.1,1.5263818,0.9116541,1.1999983,0.7287459,1.2,0.6327662,0.5605056,0.4276080924,0.100097503
5783364.1,1.4947809,0.886303,1.1999983,0.7371892,1.2,0.5869825,0.6066164,0.3899674274,0.1088339198
6292101.9,1.4648992,0.866835,1.1999983,0.7430816,1.2,0.5435239,0.6504101,0.3546623026,0.1162191715
6848056.5,1.4368408,0.8535651,1.1999983,0.7466689,1.2,0.5024236,0.6889603,0.3227858944,0.1210841013
7451858.1,1.4108699,0.8474735,1.1999983,0.7521488,1.2,0.4583374,0.7363173,0.2892211692,0.1285842015
8110615.4,1.3869933,0.8492579,1.1999982,0.7608286,1.2,0.4099221,0.7851778,0.2564234504,0.1360158599
8825348.3,1.3655371,0.8600293,1.1999982,0.7652083,1.2,0.3678835,0.8230872,0.2291794911,0.1386054068
9601483.3,1.3467138,0.8815761,1.1999982,0.7723874,1.2,0.3233404,0.8685354,0.2003222229,0.1433411418
10437481.4,1.3310358,0.9159929,1.1999981,0.7788339,1.2,0.2815807,0.9130059,0.1730634811,0.1470466586
11326658.0,1.3190912,0.9656628,1.1999981,0.791108,1.2,0.2366684,0.9570927,0.1471085307,0.1501124766
12226236.1,1.3117933,1.0307454,1.1999981,0.8024432,1.2,0.1980918,0.9992507,0.1231667871,0.1526865303
13098724.4,1.3092865,1.1099039,1.199998,0.8156201,1.2,0.164039,1.0314373,0.1045584171,0.1519189656
13927627.1,1.3112679,1.201611,1.199998,0.8295803,1.2,0.1353107,1.0608821,0.0879769264,0.1510627001
14685412.1,1.3170196,1.3023598,1.1999979,0.8480137,1.2,0.1096443,1.0887914,0.072593153,0.1511503692
15374388.6,1.3255281,1.4100944,1.1999979,0.8691805,1.2,0.0878611,1.109569,0.0607870707,0.1494448052
16004286.4,1.3360638,1.5233562,1.1999979,0.8870314,1.2,0.0716834,1.1261855,0.051114537,0.1470021714
16583789.4,1.3477367,1.6411751,1.1999978,0.9122003,1.2,0.0561689,1.1421303,0.0416944713,0.1454029865
17122795.2,1.3597368,1.76215,1.1999978,0.9370215,1.2,0.0438237,1.1548255,0.033835996,0.1430772748
17631196.2,1.3711397,1.8845832,1.1999977,0.9660143,1.2,0.0330132,1.1664707,0.0263074727,0.141050177
18117154.4,1.3807155,2.0056365,1.1999977,0.9903781,1.2,0.025135,1.1740614,0.0210218453,0.1372755114
18592578.5,1.3873496,2.1210728,1.1999976,1.0130354,1.2,0.0189039,1.1804816,0.0163244323,0.1332759763
19071445.5,1.3892788,2.2250826,1.1999976,1.036119,1.2,0.013709,1.185838,0.0121950143,0.1289715286
19561665.7,1.3843344,2.3071589,1.1999975,1.0557459,1.2,0.0097372,1.1899359,0.0088515096,0.1242195497
20067434.6,1.3709972,2.3550773,1.1999975,1.0669397,1.2,0.0070029,1.1927588,0.0064107433,0.1190794811
20596325.8,1.3478852,2.3580433,1.1999974,1.0642358,1.2,0.0053673,1.1944482,0.0048405415,0.1137534224
21131105.9,1.3156431,2.3050534,1.1999974,1.0549987,1.2,0.0042466,1.1956059,0.003724619,0.1092223385
21686023.4,1.2753678,2.1984866,1.1999973,1.0306774,1.2,0.0038395,1.1960266,0.0031975758,0.1052977488
22279209.9,1.2313436,2.0600973,1.1999973,0.9979734,1.2,0.0038394,1.1960266,0.0029922189,0.1019578545
22965105.9,1.1854088,1.9006504,1.1999972,0.9617883,1.2,0.0041063,1.1957508,0.0029702566,0.0992524137
23823143.9,1.1413766,1.7348592,1.1999972,0.924917,1.2,0.0046955,1.1951419,0.0031436424,0.0973441228
24024078.4,1.1334845,1.7037843,1.1999971,0.917956,1.2,0.0048552,1.1949768,0.0032031606,0.0970743911
25014039.3,1.106987,1.5949928,1.1999971,0.8913097,1.2,0.0057369,1.194066,0.0035821711,0.0963094281
27449435.1,1.0960617,1.5381548,1.1999969,0.8746085,1.2,0.006774,1.1929946,0.0040975326,0.0962908137
33502493.2,1.1091573,1.6047523,1.1999966,0.8861693,1.2,0.0061312,1.1936581,0.0038042783,0.0956811083
45450359.6,1.1123724,1.6762634,1.1999959,0.8981057,1.2,0.0046942,1.1951419,0.0029707589,0.0927501103
67863200.0,1.1113748,1.6973909,1.1999945,0.9062239,1.2,0.0039679,1.1958909,0.0025400231,0.0915852115
123567801.9,1.1154729,1.7128553,1.1999909,0.9112237,1.2,0.0038331,1.1960266,0.0024779727,0.0917093928
262178676.9,1.1237059,1.7437135,1.199982,0.9185652,1.2,0.0036972,1.1961578,0.002427882,0.0918916269
607086889.4,1.1429492,1.8171042,1.199959,0.9348554,1.2,0.0034323,1.1964078,0.0023342029,0.0922503824
1107086889.4,1.1728876,1.9313451,1.1999231,0.960864,1.2,0.0030624,1.1967531,0.0021987186,0.0929378679
1607086889.4,1.2062877,2.0580961,1.199884,0.9904348,1.2,0.0027207,1.1970658,0.0020735292,0.0939110822
2107086889.4,1.2439503,2.1987051,1.199841,1.0247807,1.2,0.0024038,1.1973489,0.0019583721,0.095311566
2606141133.0,1.2869868,2.3537571,1.1997936,1.0591317,1.2,0.002271,1.1974371,0.0019791175,0.0972665179
2703192809.4,1.2960554,2.3852325,1.1997837,1.066072,1.2,0.0022612,1.1974371,0.0019974019,0.0977514321
3063809805.7,1.3316961,2.5004749,1.1997455,1.0954547,1.2,0.002223,1.1974371,0.0020743639,0.1001496752
3442564920.2,1.3723147,2.6051259,1.1997022,1.1199294,1.2,0.0025389,1.1970658,0.0024892401,0.1040513704
3754346858.1,1.4098515,2.6829378,1.1996642,1.1403013,1.2,0.0030225,1.1965267,0.0030895874,0.108610652
4026006801.9,1.445718,2.7504761,1.1996293,1.1547718,1.2,0.0037383,1.1957508,0.0039502411,0.1132963206
4281329891.4,1.4822426,2.8046375,1.1995948,1.1712686,1.2,0.004618,1.1948063,0.0050546367,0.1189810841
4504514675.1,1.5177081,2.8437365,1.1995634,1.1824327,1.2,0.0059053,1.193444,0.0066484351,0.1251208803
4706478330.7,1.5517422,2.8780286,1.199534,1.1905627,1.2,0.0075296,1.1917363,0.0086823435,0.131276525
4895037375.6,1.587814,2.9575601,1.1995054,1.2000227,1.2,0.0089309,1.1902603,0.0105718615,0.1355539818
4994960974.4,1.6153248,3.1241652,1.1994894,1.2237762,1.2,0.0077531,1.1914596,0.0095311924,0.1336935206
5029493150.1,1.6387468,3.3432502,1.1994834,1.2634069,1.2,0.0054175,1.1938654,0.0070175767,0.1291394663
5042217439.0,1.6645138,3.5635781,1.1994811,1.3076283,1.2,0.0037503,1.1955889,0.0051393467,0.1255888239
5047914577.2,1.688616,3.7273653,1.1994799,1.3413577,1.2,0.0029946,1.1963703,0.0042874171,0.1242053921
