#skip this line: the order is name, planet mass(MJup), star mass(Msun), planet radius(rJup), current semi major axis length(AU), current orbital period(days), current inclination (degrees);misalignment
#NAME,MASS,MSTAR,R,A,PER,I,LAMBDA,AGES
#NAME,MASS,MSTAR,R,A,PER,I,LAMBDA,LAMBDALOWER,LAMBDAUPPER,YEAR,YEARLOWER,YEARUPPER
#,mjupiter,msun,rjupiter,au,day,deg,deg,GYear,GLOWER,GUPPER#
WASP-6 b,0.52136,0.93,1.224,0.0428704,3.361006,88.47,-11,14,18,11,7,7
WASP-52 b,0.457165,0.87,1.27,0.0271336,1.7497798,85.35,24,9,17,0.4,0.3,0.3
WASP-31 b,0.479329,1.165,1.537,0.0466223,3.405909,84.54,2.8,3.1,3.1,4,1,1
WASP-26 b,1.01746,1.12,1.32,0.0399686,2.7566,82.5,-34,26,36,6,2,2
WASP-25 b,0.57847,1,1.22,0.0473714,3.764825,88,14.6,6.7,6.7,0.02,0.01,3.96
WASP-24 b,1.091,1.184,1.3,0.0365155,2.3412127,83.64,-4.7,4,4,1.6,1.6,1.6
WASP-22 b,0.559059,1.1,1.12,0.0468682,3.53269,89.2,22,16,16,3,1,1
WASP-19 b,1.13339,0.93,1.386,0.0163152,0.78884,79.4,4.6,5.2,5.2,11.5,2.7,2.7
WASP-17 b,0.508547,1.19,1.932,0.0499354,3.735433,86.63,-148.5,5.1,4.2,3.0,2.6,2.6
WASP-16 b,0.842294,1,1.008,0.0417858,3.1186009,85.22,-4.2,13.9,11,2.3,2.2,2.2
WASP-15 b,0.542797,1.18,1.379,0.0499436,3.7521,85.96,-139.6,5.2,4.3,3.9,1.3,1.3
TrES-2 b,1.20071,0.983,1.224,0.0355765,2.47063,83.57,-9,12,12,5.1,2.7,2.7
TrES-1 b,0.752484,0.878,1.067,0.0392516,3.030065,90,30,21,21,2.5,1.4,1.4
HD 209458 b,0.689646,1.131,1.359,0.047235,3.52474859,86.71,-4.4,1.4,1.4,4,2,2
HD 189733 b,1.1436,0.806,1.138,0.0309953,2.21857567,85.71,-0.85,0.32,0.28,0.6,0.5,0.5
HAT-P-32 b,0.861516,1.16,1.789,0.0342627,2.150008,88.9,85,1.5,1.5,3.8,0.5,0.5
HAT-P-27 b,0.617485,0.92,1.02,0.0399488,3.039577,85,24.2,45,76,4.4,2.6,2.6
HAT-P-24 b,0.685857,1.191,1.242,0.0465021,3.35524,88.6,20,16,16,2.8,0.6,0.6
HAT-P-17 b,0.530158,0.857,1.01,0.0882385,10.338523,89.2,19,12,16,7.8,3.3,3.3
HAT-P-1 b,0.532369,1.133,1.242,0.0553326,4.4652934,86.11,3.7,2.1,2.1,3.6,0.01,0.01
